Time,PopBio,Temp,Species,Medium
601.626016260162,493.476250996515,0,Arthrobacter sp. 62,TGE agar
578.861788617886,523.483270316647,0,Arthrobacter sp. 62,TGE agar
554.471544715447,411.804687494928,0,Arthrobacter sp. 62,TGE agar
531.707317073171,311.310143129459,0,Arthrobacter sp. 62,TGE agar
512.195121951219,260.026157859915,0,Arthrobacter sp. 62,TGE agar
486.178861788618,208.658959315772,0,Arthrobacter sp. 62,TGE agar
460.162601626016,181.333035948067,0,Arthrobacter sp. 62,TGE agar
437.39837398374,133.044356243192,0,Arthrobacter sp. 62,TGE agar
365.853658536585,77.4961483452263,0,Arthrobacter sp. 62,TGE agar
341.463414634146,59.7604174563915,0,Arthrobacter sp. 62,TGE agar
292.682926829268,20.748959485739,0,Arthrobacter sp. 62,TGE agar
269.918699186992,13.779738449309,0,Arthrobacter sp. 62,TGE agar
195.121951219512,2.73595599371223,0,Arthrobacter sp. 62,TGE agar
139.837398373984,2.73093667864603,0,Arthrobacter sp. 62,TGE agar
110.569105691057,2.78319996924522,0,Arthrobacter sp. 62,TGE agar
89.430894308943,2.78124657266229,0,Arthrobacter sp. 62,TGE agar
71.5447154471544,2.77959476950685,0,Arthrobacter sp. 62,TGE agar
0,2.74550329401221,0,Arthrobacter sp. 62,TGE agar
